Vehicle_ID,Frame_No,Time_s,X_m,Y_m,Speed_mps,Acc_mps2,used_metres,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1,409,17.05870833,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
2,452,18.85216667,9.114009442,6.279732011,,,TRUE,1613.775024,1108.005859,1802.006714,1245.535034
2,453,18.893875,9.129031455,6.269382941,0.437366392,,TRUE,1612.462524,1105.427612,1808.949219,1244.234619
2,454,18.93558333,9.128741899,6.270831694,0.035422301,-9.637021176,TRUE,1613.136597,1105.389893,1808.166626,1244.815308
2,455,18.97729167,9.123575182,6.267989234,0.1413865,2.540600166,TRUE,1613.395508,1105.635986,1805.971313,1243.503906
2,456,19.019,9.136963114,6.268166419,0.321017495,4.306837047,TRUE,1613.341797,1105.34436,1811.042603,1243.861938
2,457,19.06070833,9.143253201,6.270569498,0.161442495,-3.825974022,TRUE,1614.310181,1106.360718,1812.431641,1243.746216
2,458,19.10241667,9.142037982,6.272713639,0.05909055,-2.453992682,TRUE,1614.203369,1106.999023,1812.083008,1243.911499
2,459,19.144125,9.140154734,6.271661274,0.051724319,-0.176612936,TRUE,1614.515503,1107.021362,1811.065063,1243.494751
2,460,19.18583333,9.144065519,6.271419273,0.093944424,1.012270245,TRUE,1615.478638,1106.9552,1811.567627,1243.470215
2,461,19.22754167,9.137008062,6.273198945,0.17450681,1.931565706,TRUE,1614.976807,1107.716187,1809.424438,1243.376221
2,462,19.26925,9.116191039,6.269817437,0.505651471,7.939532335,TRUE,1614.951294,1107.143799,1801.648071,1242.681274
2,463,19.31095833,9.110701869,6.271966463,0.141335144,-8.734856992,TRUE,1615.497192,1107.764648,1799.044922,1242.865845
2,464,19.35266667,9.102344183,6.261260417,0.325642029,4.41894629,TRUE,1614.797119,1106.410034,1796.612671,1240.208008
2,465,19.394375,9.086035946,6.267602617,0.419533902,2.251153797,TRUE,1615.454346,1107.384766,1789.843384,1241.610229
2,466,19.43608333,9.101210065,6.258078568,0.429539957,0.23990542,TRUE,1614.398804,1105.74939,1796.585938,1239.676147
2,467,19.47779167,9.10445901,6.257804647,0.078173143,-8.42437915,TRUE,1615.295288,1105.131714,1796.907104,1240.191162
2,468,19.5195,9.085340558,6.261988376,0.469231548,9.376025684,TRUE,1616.594116,1106.501099,1788.442993,1240.389771
2,469,19.56120833,9.060425467,6.256232451,0.613098579,3.44935938,TRUE,1616.854736,1106.254395,1778.844604,1238.479248
2,470,19.60291667,9.081224902,6.25614223,0.498692437,-2.74300441,TRUE,1617.165894,1106.499634,1786.328735,1238.200195
2,471,19.644625,9.076440892,6.254064534,0.125051855,-8.958415537,TRUE,1616.641235,1105.937134,1785.060425,1237.984009
2,472,19.68633333,9.053237727,6.259367072,0.570661501,10.68394754,TRUE,1616.895874,1106.733276,1776.109619,1239.175171
2,473,19.72804167,9.035594084,6.261605017,0.426413788,-3.458486619,TRUE,1617.159668,1107.686401,1769.233276,1239.060791
2,474,19.76975,9.04924812,6.265712855,0.341864007,-2.027167578,TRUE,1616.308716,1108.698486,1775.201538,1239.588257
2,475,19.81145833,9.04924812,6.265712855,0,-8.196539621,TRUE,1616.308716,1108.698486,1775.201538,1239.588257
2,476,19.85316667,9.023525924,6.26258084,0.621270979,14.89560788,TRUE,1615.235962,1109.21228,1766.634033,1237.900635
2,477,19.894875,9.003692541,6.264682313,0.478187509,-3.430572701,TRUE,1616.272095,1110.450439,1758.164673,1237.450073
2,478,19.93658333,9.014347777,6.26596984,0.257328508,-5.295320711,TRUE,1616.78833,1111.332764,1761.641846,1237.050293
2,479,19.97829167,9.005900195,6.264535093,0.205439888,-1.244082789,TRUE,1616.341064,1110.817139,1758.923096,1237.028198
2,480,20.02,9.005900195,6.264535093,0,-4.925631683,TRUE,1616.341064,1110.817139,1758.923096,1237.028198
2,481,20.06170833,9.005900195,6.264535093,0,0,TRUE,1616.341064,1110.817139,1758.923096,1237.028198
2,482,20.10341667,9.005900195,6.264535093,0,0,TRUE,1616.341064,1110.817139,1758.923096,1237.028198
2,483,20.145125,9.014681954,6.262206926,0.21782538,5.222586522,TRUE,1615.702271,1110.691284,1762.853149,1236.281494
2,484,20.18683333,9.014681954,6.262206926,0,-5.222586522,TRUE,1615.702271,1110.691284,1762.853149,1236.281494
2,485,20.22854167,9.014681954,6.262206926,0,0,TRUE,1615.702271,1110.691284,1762.853149,1236.281494
2,486,20.27025,9.014681954,6.262206926,0,0,TRUE,1615.702271,1110.691284,1762.853149,1236.281494
2,487,20.31195833,9.014681954,6.262206926,0,0,TRUE,1615.702271,1110.691284,1762.853149,1236.281494
2,488,20.35366667,9.014681954,6.262206926,0,0,TRUE,1615.702271,1110.691284,1762.853149,1236.281494
2,489,20.395375,9.014681954,6.262206926,0,0,TRUE,1615.702271,1110.691284,1762.853149,1236.281494
2,490,20.43708333,9.014681954,6.262206926,0,0,TRUE,1615.702271,1110.691284,1762.853149,1236.281494
